category,value,question,answer
BUSINESS & INDUSTRY,200,"It has over 9,700 tax preparation offices worldwide",H&R Block
HISTORY,200,Historians refer to the Golden Age as the time during which Pericles ruled this city,Athens
POETS,200,"On Feb. 12, 1959, the 150th anniversary of Lincoln's birth, he addressed a joint session of Congress",Carl Sandburg
NOTABLE NONHUMANS,400,"In 1964 he lifted his beagles Him & Her by the ears on the White House lawn, provoking protest",Lyndon Johnson
WORLD FACTS,400,"A humid city, Rio de Janeiro lies just north of this tropic line",the Tropic of Capricorn
ART & ARTISTS,400,"This drip artist was born in Cody, Wyoming in 1912",Jackson Pollock
BUSINESS & INDUSTRY,400,"In 1961 this firm introduced its Selectric typewriter, which used a spherical typing element",IBM
HISTORY,400,"Under the 1814 Treaty of Kiel, this country gave Norway to Sweden but kept Greenland & other islands",Denmark
POETS,400,"Between 1842 & 1885, he repeatedly revised his ""Idylls of the King""",Alfred Lord Tennyson
NOTABLE NONHUMANS,600,"Colo was the first of these great apes born in captivity, in 1956 at the Columbus Zoo",Gorilla
WORLD FACTS,600,"The lowest river in the world, it's revered by Jews, Christians & Muslims alike",The River Jordan
ART & ARTISTS,600,"He spent several summers painting pointillist seascapes including ""Le Bec Du Hoc, Grandcamp""",Georges Seurat
BUSINESS & INDUSTRY,600,"In 1934 he plugged Bulova ""Lone Eagle"" watches",Charles Lindbergh
HISTORY,600,In February 1904 this country attacked the Russian fleet at Port Arthur,Japan
POETS,600,"For much of the winter of 1794-95, he served as acting supervisor for Dumfries, Scotland",Robert Burns
NOTABLE NONHUMANS,800,"In 1945 this famous scottie was injured in a fight with Blaze, Elliott Roosevelt's mastiff",Fala
WORLD FACTS,1100,"Discovered by David Livingstone, Botswana's Lake Ngami lies in the northern part of this desert",Kalahari Desert
ART & ARTISTS,800,"His sculpture, ""The Age of Bronze"", exhibited in 1877, was inspired by Michelangelo",Auguste Rodin
BUSINESS & INDUSTRY,800,Only Philip Morris & this Cincinnati-based firm have yearly ad expenditures exceeding $2 billion,Procter & Gamble
HISTORY,800,"On May 30, 1967 Colonel Ojukwu declared Biafra's independence from this country, starting a civil war",Nigeria
POETS,800,"Her ""I Heard a Fly Buzz"" may have been based on a chapter in ""The House of the Seven Gables""",Emily Dickinson
NOTABLE NONHUMANS,1000,This favorite horse of Alexander the Great sometimes wore golden horns in battle,Bucephalus
WORLD FACTS,1000,In area this country whose capital is now called Yangon is the largest in mainland southeast Asia,Myanmar (Burma)
ART & ARTISTS,1000,"You can see this British sculptor's ""Reclining Mother and Child"" at the Walker Art Center in Minneapolis",Henry Moore
BUSINESS & INDUSTRY,600,In 1811 this German family began its steel-making business by constructing a plant in Essen,Krupp
HISTORY,1000,"In the midst of the Korean War, this South Korean president was elected to his second of 4 terms",Syngman Rhee
POETS,1000,"He once wrote, ""I choose to be a plain New Hampshire farmer""",Robert Frost
ACTRESSES' FIRST FILMS,100,"""Body Heat""",Kathleen Turner
LIBRARIES,100,Marsh's Library in this country was founded c. 1702 by the Archbishop of Dublin,Ireland
TELEPHONE HISTORY,100,In 1991 this telephone company launched its Friends & Family promotion,MCI
VERMONTERS,100,This leader of the Green Mountain Boys did not live to see Vermont become a state,Ethan Allen
"""X"", ""Y"", ""Z""",100,"It looks like a sweet potato, but it isn't even a distant relative",a yam
SHAKESPEAREAN LAST SCENES,100,"You could say this comedy ""ends well"" -- Helena finally wins the love of her husband Bertram",All's Well That Ends Well
ACTRESSES' FIRST FILMS,200,"""To Have and Have Not""",(Lauren) Bacall
LIBRARIES,200,"Architect Gordon Bunshaft designed this presidential library in Austin, Texas",the LBJ library
TELEPHONE HISTORY,200,"As of July 1, 1968 you could dial this 3-digit number in New York City & get the police",911
VERMONTERS,200,"This founding prophet of Mormonism was born in Sharon, Vermont in 1805",Joseph Smith
"""X"", ""Y"", ""Z""",200,It's a kind of striped mussel as well as a striped equine,a zebra
SHAKESPEAREAN LAST SCENES,200,"Though this comedy has Verona in its title, it ends in a forest on the frontiers of Mantua",The Two Gentlemen of Verona
ACTRESSES' FIRST FILMS,300,"""The Outlaw""",Jane Russell
LIBRARIES,300,"Sterling Memorial Library in New Haven, Connecticut houses the archives of this university",Yale
TELEPHONE HISTORY,300,"On Oct. 30, 1938 phone traffic peaked in cities all over America as people discussed this broadcast","the ""War of the Worlds"""
VERMONTERS,300,"This plow inventor was a Vermont blacksmith before moving to Grand Detour, Illinois",John Deere
"""X"", ""Y"", ""Z""",300,"Despite its bulk, this wild ox found in Tibet is an excellent swimmer",a yak
SHAKESPEAREAN LAST SCENES,300,"Near the end of ""Henry VIII"", this princess is described as ""a most unspotted lily"", who will die a virgin",Elizabeth I
ACTRESSES' FIRST FILMS,400,"""Oklahoma!""",Shirley Jones
LIBRARIES,1500,"Salinas, California, has a public library named for this novelist",Steinbeck
TELEPHONE HISTORY,400,In 1980 Dial-It National Sports became the first service on this new area code,1-900
VERMONTERS,400,George Franklin Edmunds wrote most of this antitrust act of 1890,the Sherman (Antitrust Act)
"""X"", ""Y"", ""Z""",400,"Some of these are produced by bremsstrahlung, from the German for ""breaking radiation""",x-rays
SHAKESPEAREAN LAST SCENES,400,"Puck's last speech in this play begins, ""If we shadows have offended, think but this--and all is mended""",A Midsummer Night's Dream
ACTRESSES' FIRST FILMS,500,"""Halloween""",Jamie Lee Curtis
LIBRARIES,500,In 1602 this university's library reopened after restoration work by Sir Thomas Bodley,Oxford University
TELEPHONE HISTORY,500,"In 1880 he invented the photophone, a device that sent messages through the air on beams of light",Alexander Graham Bell
VERMONTERS,500,At age 15 this future New York Tribune editor was apprenticed to a printer in East Poultney,Horace Greeley
"""X"", ""Y"", ""Z""",500,"This Saint Francis was the ""Apostle of the Indies""",Xavier
SHAKESPEAREAN LAST SCENES,500,"In the last scene of this comedy, Petruchio wins a bet that he has the most obedient wife",The Taming of the Shrew
MEDICAL MILESTONES,200,"In 1751, with Benjamin Franklin's help, the 1st hospital in the U.S. was founded in this city",Philadelphia
POETS & POETRY,200,"Of the 31 pilgrims in this Chaucer work, only 23 tell their stories",The Canterbury Tales
WORLD GEOGRAPHY,200,Large aboriginal populations live in this country's states of Queensland & New South Wales,Australia
MIXED DRINKS,200,The juice of one of these citrus fruits makes a Whiskey Sour sour,a lemon
THE 1930s,200,"In 1936, in defiance of the Treaty of Versailles, this country began remilitarizing the Rhineland",Germany
POP MUSIC,200,"He recorded ""Gone At Last"" with Phoebe Snow, not Art Garfunkel",Paul Simon
MEDICAL MILESTONES,400,In 1867 Thomas Allbutt invented one of these instruments which took 5 minutes to register instead of 20,a thermometer
POETS & POETRY,400,"This Longfellow poem was suggested by a smithy under a chestnut tree in Cambridge, Massachusetts","""The Village Blacksmith"""
WORLD GEOGRAPHY,400,"Administrative units in this country include Giza, Aswan & Suez",Egypt
MIXED DRINKS,400,This pomegranate syrup turns a Pink Lady pink,grenadine
THE 1930s,400,This longtime anchor of the CBS Evening News became a UPI correspondent in 1939,Walter Cronkite
POP MUSIC,400,"She sang ""Better Be Good To Me"" in 1984, a few years after she broke up with Ike",Tina Turner
MEDICAL MILESTONES,600,Dutch physician Willem Kolff developed the 1st of these kidney machines that cleanse the blood,a dialysis machine
POETS & POETRY,600,"Oliver Wendell Holmes wrote of this ship, ""Oh better that her shattered hulk should sink beneath the wave""","""Old Ironsides"""
WORLD GEOGRAPHY,600,This longest river on the Iberian Peninsula is also known as the Tajo,the Tagus
MIXED DRINKS,600,A teaspoon of creme de cassis is added to this to make a Kir,white wine
THE 1930s,600,Helen Keller brought the first of these Japanese dogs to the United States in 1937,the akita
POP MUSIC,600,"In ""Take Me Home, Country Roads"", John Denver sang, ""Almost heaven,"" this state",West Virginia
MEDICAL MILESTONES,800,In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,syphilis
POETS & POETRY,800,"His ""When the Frost is on the Punkin"" was written for a series in the Indianapolis Journal",(James Whitcomb) Riley
WORLD GEOGRAPHY,1500,"Cabinda, an area of this former Portuguese colony, is separated from the rest of it by Zaire",Angola
MIXED DRINKS,800,"A basic Gin Rickey is gin, lime & this non-potent potable",soda water
THE 1930s,800,He was appointed conductor of the Boston Pops in 1930,Arthur Fiedler
POP MUSIC,800,"Alan, Merrill & Wayne, 3 of these Utah brothers, co-wrote their own 1972 hit ""Crazy Horses""",the Osmonds
MEDICAL MILESTONES,2000,In 1982 William DeVries performed the 1st permanent artificial heart transplant on this man,Barney Clark
POETS & POETRY,1000,"He was descended from an Abyssinian prince, Peter the Great's godson",(Aleksandr) Pushkin
WORLD GEOGRAPHY,1000,The Indus River provides the western border of this desert also known as the Great Indian Desert,the Thar Desert
MIXED DRINKS,1000,Using Scotch whisky turns a Manhattan into this drink,a Rob Roy
THE 1930s,1000,"This author of ""Anne of Green Gables"" was awarded the Order of the British Empire in 1935",(Lucy Maud) Montgomery
POP MUSIC,1000,"This singer's 1970 hit ""I'll Never Fall In Love Again"" was from the Broadway musical ""Promises, Promises""",Dionne Warwick
RUSSIA,100,"In the July 3, 1996 runoff, he defeated Gennadi Zyuganov",Boris Yeltsin
ACTORS & ACTRESSES,100,"This ""Alien"" actress starred in her long-time pal Christopher Durang's 1996 play ""Sex and Longing""",Sigourney Weaver
BIOGRAPHIES,100,"""Rare Air"" is a photo biography of this basketball star",Michael Jordan
BUSINESS,100,"The tires on Lindbergh's ""Spirit of St. Louis"" were made by this former competitor of Goodyear",B.F. Goodrich
CLASSICAL COMPOSERS,100,"This ""Messiah"" composer's first job was as a church organist in Halle, Germany, at age 17",Georg Handel
PROVERBS,100,"""You can't make a silk purse"" out of this",a sow's ear
RUSSIA,200,In 1996 this Russian newspaper stopped publishing after 84 years,Pravda
ACTORS & ACTRESSES,200,Don't blink--or you'll miss Richard Dreyfuss in this 1967 film based on a Jacqueline Susann novel,Valley of the Dolls
BIOGRAPHIES,200,"This actor-director is the subject of David Thomson's biography ""Rosebud""",Orson Welles
BUSINESS,200,"In 1866, William A. Breyer started the company that's now the oldest national producer of this",ice cream
CLASSICAL COMPOSERS,200,"""Variations on a Theme by Haydn"" was this ""lullaby"" composer's first major work for full orchestra",Johannes Brahms
PROVERBS,200,"""Imitation is the sincerest form of"" it, but beware, it ""corrupts both the receiver and the giver""",flattery
RUSSIA,300,"In April of 1996, Russian rockets killed Dzhokhar Dudayev, this breakaway republic's leader",Chechnya
ACTORS & ACTRESSES,300,"This ""Seinfeld"" co-star became a Broadway star at age 23 in Stephen Sondheim's musical ""Merrily we Roll Along""",Jason Alexander
BIOGRAPHIES,300,"""Shalom, Friend"" tells of ""The Life and Legacy"" of this slain Israeli leader",Yitzhak Rabin
BUSINESS,300,"This San Francisco-based clothing company's full name includes ""De Corps""",Esprit
CLASSICAL COMPOSERS,300,"In 1977, his ""Immortal Beloved"" was identified as Antonie Brentano, wife of a merchant",Beethoven
PROVERBS,300,"It's where you should ""never tell tales""",out of school
RUSSIA,400,"Abbreviated CIS, it replaced the USSR",Commonwealth of Independent States
ACTORS & ACTRESSES,400,"John Mahoney, who plays Martin Crane on this sitcom, was born in England; he moved to the U.S. when he was 19",Frasier
BIOGRAPHIES,400,"""The Education of a Woman"" by Carolyn G. Heilbrun tells of this feminist and famous Ms",Gloria Steinem
BUSINESS,400,"From 1875 to 1989, this New York company's name included ""Glassworks""",Corning
CLASSICAL COMPOSERS,400,"This father-in-law of Richard Wagner died July 31, 1886, during the Wagner festival at Bayreuth",Franz Liszt
PROVERBS,400,"The saying ""Strike while the iron is hot"" originally alluded to this profession",blacksmith
RUSSIA,500,They're the colors of the three stripes on the Russian flag,"red, white, and blue"
ACTORS & ACTRESSES,1000,"Professional name used by the actress seen here during her film career; it's different from her married name (clip from ""Hellcats of the Navy"")",Nancy Davis
BIOGRAPHIES,500,"Known for his ""Compleat Angler"", he also wrote a biography of his friend, writer John Donne",Izaak Walton
BUSINESS,500,"This Warner-Lambert product contains retsyn, a finely homogenized vegetable oil",Certs
CLASSICAL COMPOSERS,500,"He composed his ""Leningrad Symphony"" during the World War II siege of Leningrad",Dmitri Shostakovich
PROVERBS,500,"These two things ""wait for no man""",time and tide
THE SUPREME COURT,200,"Justices Butler, Van DeVanter, Sutherland, and McReynolds opposed this president's ""New Deal""",F.D. Roosevelt
LANGUAGES,200,"This Scandinavian language changed ""aa"" to a circle-topped ""a"", making it closer to Swedish and Norwegian",Danish
SCIENTISTS,200,"In 1633 this astronomer was found guilty of ""vehement suspicion of heresy""",Galileo
THE CIVIL WAR,200,"Union pay department officers wore the M1840, one of these weapons that featured a straight 31"" all-gilt blade",Sword
POETRY,200,"In stanza three of ""The Star Spangled Banner"", he mocks ""The hireling and slave"" who doubt America's victory",Francis Scott Key
ODDS & ENDS,200,This city's Hartsfield International overtook O'Hare as the world's busiest airport even before the Summer Olympics,Atlanta
THE SUPREME COURT,400,"This president called his 1953 appointment of Earl Warren ""the biggest damn' fool mistake I ever made""",Eisenhower
LANGUAGES,400,All of the Romance languages have their roots in this language,Latin
SCIENTISTS,400,"This botanist was hailed as ""The Wizard of Tuskegee""",George Washington Carver
THE CIVIL WAR,400,"On May 29, 1865, he issued a general amnesty for most rebels; the rich and those with high ranks weren't included",Andrew Johnson
POETRY,400,"Poe said this maiden ""lived with no other thought than to love and be loved by me""",Annabel Lee
ODDS & ENDS,400,"For about $200 a whack, you can spend the night at the Fall River MA home of this alleged murderess",Lizzie Borden
THE SUPREME COURT,600,In 1995 two justices rejected The Citadel's appeal of an order to admit her,Shannon Faulkner
LANGUAGES,600,Balinese is spoken on several islands of this country,Indonesia
SCIENTISTS,600,"The symbol ""J"" as a unit of energy honors this physicist",Joule
THE CIVIL WAR,600,"In June of 1861, Dorothea Dix was appointed to supervise the female ones of these",nurses
POETRY,600,"Originally, he didn't want his ""Elegy Written in a Country Churchyard"" published",Gray
ODDS & ENDS,600,They're the two main ingredients in a Cape Codder cocktail,cranberry juice and vodka
THE SUPREME COURT,800,He served as Chief Justice the longest; 34 years from 1801-1835,John Marshall
LANGUAGES,800,Hungarians call their official language this,Magyar
SCIENTISTS,800,"In 1791 this Italian published the results of his experiments in ""animal electricity""",Luigi Galvani
THE CIVIL WAR,800,"In the Gettysburg campaign, Lee's forces were along Seminary Ridge and the federal forces along this ridge",Cemetery Ridge
POETRY,800,"His series ""Bells and Pomegranates"" included ""Pippa Passes"" and ""My Last Duchess""",Robert Browning
ODDS & ENDS,800,Muhammad received the first of the Koran's revelations during this holy month,Ramadan
THE SUPREME COURT,1500,"After the 1987 rejection of this man's nomination to the court, Anthony Kennedy filled Powell's seat",Robert Bork
LANGUAGES,1000,Punjabi is spoken by about half of all households in this country,Pakistan
SCIENTISTS,2500,"His 1637 ""Discours de la methode"" prefaced a series of essays on optics, meteorology, and geometry",Rene Descartes
THE CIVIL WAR,1000,"Hero of the War of 1812 and the Mexican War, he resigned November 1, 1861, as head of the Union army",Winfield Scott
POETRY,1000,"This poet to whom T.S. Eliot dedicated ""The Wasteland"" ended up in a mental institution",Ezra Pound
ODDS & ENDS,1000,It's the smaller of the two bones in the lower leg,the fibula
AMERICANA,100,On December 19 the people of this U.S. state celebrate Princess Bernice Pauahi Bishop's birthday,Hawaii
SPORTS,100,"In 1967 this New York Jets quarterback became the first pro to pass for more than 4,000 yards in a season",Joe Namath
GRAINS & STAPLES,100,"The name of this food, not a true grain, comes from the Dutch meaning ""beech wheat""",buckwheat
HISTORIC WOMEN,100,"On April 5, 1614, in Jamestown, she married John Rolfe",Pocahontas
ORGANIZATIONS,100,Since 1908 this group has distributed over 26 million Bibles to hotels & other institutions,Gideon
PROVERBS,100,"It's the 4-letter word that ""makes the world go round""",love
AMERICANA,200,In 1986 this New York capital celebrated the 300th anniversary of its charter as a city,Albany
SPORTS,200,"Founded in 1897, it's the world's oldest annual marathon",the Boston Marathon
GRAINS & STAPLES,200,The rolled form of this grain cooks in about 5 minutes; the steel-cut takes much longer,oats
HISTORIC WOMEN,200,"Anna Ivanovna, empress of Russia from 1730 to 1740, was the niece of this great ruler",Peter the Great
ORGANIZATIONS,200,It's what the R stands for in AARP,retired
PROVERBS,200,"There's ""no time like"" this",the present
AMERICANA,300,This U.S. first lady once taught dance in Grand Rapids,Betty Ford
SPORTS,300,"In 1991, after 12 seasons at the Salt Palace, this NBA team moved its home games to the Delta Center",the Utah Jazz
GRAINS & STAPLES,300,"Basmati, an aromatic type of this grain, is grown in India",rice
HISTORIC WOMEN,300,"After 5 years in office, she resigned as Israeli prime minister in 1974",Golda Meir
ORGANIZATIONS,300,"Not surprisingly, this organization, founded in 1884, maintains one of the world's finest reference libraries on dogs",the American Kennel Club
PROVERBS,300,"It's the type of pot that ""never boils""",a watched pot
AMERICANA,400,"Lancaster, which has the largest stockyards east of Chicago, was this state's capital from 1799 to 1812",Pennsylvania
SPORTS,400,In 1992 Viktor Petrenko won the world championship in this sport,ice skating (men's figure skating)
GRAINS & STAPLES,400,"Millet seed, an important food for North Africans, is most often fed to these pets in the U.S.",birds
HISTORIC WOMEN,400,The proceeds from some of her souvenir hatchets helped fund a home for wives of alcoholics,Carrie Nation
ORGANIZATIONS,400,Members of this volunteer crime-fighting organization are famous for wearing red berets,the Guardian Angels
PROVERBS,400,"It ""comes not alone"" & ""makes waste""",haste
AMERICANA,500,"This Connecticut city famous for its university is nicknamed ""Elm City"" because it once had many elm-lined streets",New Haven
SPORTS,500,"During his 1955-1966 career, this Dodger pitcher averaged 9.28 strikeouts per 9 innings",(Sandy) Koufax
GRAINS & STAPLES,500,The pot type of this grain retains more of the bran than the pearl type,barley
HISTORIC WOMEN,500,In 1813 this mistress of the late Lord Nelson was imprisoned for debt,Lady Hamilton
ORGANIZATIONS,1000,"During Egypt's suspension from this group, 1979-1989, its headquarters was located in Tunisia",the Arab League
PROVERBS,500,"""Every"" one of these ""fits not every foot""",a shoe
GEOGRAPHY,200,A smaller canal connecting to this river brings fresh water to the Suez Canal,the Nile
AUTHORS,200,"This author of ""The Time Machine"" coined the phrase ""the war that will end war""",H.G. Wells
1938,200,On December 10 he announced he'd leave his Hyde Park estate & its papers & books to the U.S. government,FDR
MUSICAL THEATRE,200,"Barbra Streisand introduced the song ""People"" in this musical",Funny Girl
GEOGRAPHY,400,"Many things in Hong Kong are named for this queen, including the mountain peak on Hong Kong island",Victoria
AUTHORS,400,"This author gave us the line ""I'll make him an offer he can't refuse""",(Mario) Puzo
1938,400,"By accepting his membership dues, the League of Nations recognized him as emperor of Ethiopia",Haile Selassie
MUSICAL THEATRE,400,In 1994 Brooke Shields made her Broadway debut as Betty Rizzo in this musical,Grease
GEOGRAPHY,600,Lake Avernus in Campania in this country was believed by the ancients to be the entrance to Hades,Italy
20th CENTURY DESIGN,600,The U.S. pavilion at Montreal's Expo 67 was covered by one of these,a geodesic dome
AUTHORS,600,"This ""Return of the Native"" author's first novel, ""Desperate Remedies"", was published in 1871",Thomas Hardy
1938,600,17 acres surrounding her cottage were transferred to the Shakespeare Birthplace Trust,Anne Hathaway
MUSICAL THEATRE,600,"1992's ""Hello Muddah, Hello Fadduh!"" was inspired by the comic songs of this man",Allan Sherman
MIDDLE INITIAL C.,600,"This father of Andrew Wyeth illustrated more than 20 juvenile classics, including ""Treasure Island""",N.C. Wyeth
GEOGRAPHY,800,"The western portion of the Baltic island of Usedom belongs to Germany; the eastern, to this country",Poland
20th CENTURY DESIGN,800,"Lighter than steel, this metal is also associated with the modernist style of the '20s & '30s",aluminum
AUTHORS,800,This Dr. Dolittle creator studied civil engineering at M.I.T.,Hugh Lofting
1938,800,"Returning from Ireland to NYC in August, this aviator was given a parade down…er, up Broadway","""Wrong Way"" Corrigan"
MUSICAL THEATRE,3000,"1966 Jerry Herman musical that features the <a href=""http://www.j-archive.com/media/1995-07-07_DJ_17.mp3"">following</a>:  <i>""For we need a little Christmas / Right this very minute / Candles in the window / Carols at the spinet / Yes, we need a little Christmas / Right this very minute / It hasn't snowed a single flurry / But Santa, dear, we're in a hurry / So climb down the chimney / Put up the brightest string of lights I've ever seen...""</i>",Mame
MIDDLE INITIAL C.,800,"Born in South Carolina in 1782, he was known as a ""war hawk"" because he supported the War of 1812",John C. Calhoun
GEOGRAPHY,1000,Boothia Peninsula in this country is the former location of the north magnetic pole,Canada
20th CENTURY DESIGN,1000,The firm of Piano & Rogers is famous for this high-tech Paris landmark built 1971-77,the Pompidou Centre
AUTHORS,3000,1 of only 3 authors to win 2 Pulitzer Prizes for Fiction,"(1 of) Faulkner, Tarkington & John Updike"
1938,1000,"On April 27, 1938 Countess Geraldine Apponyi of Hungary married King Zog of this country",Albania
MUSICAL THEATRE,1000,"""Cabaret"" was based partly on this 1951 play by John Van Druten",I Am a Camera
MIDDLE INITIAL C.,1000,"When the parents of this ""pathfinder"" ran off together, his mother was still legally married to another man",John C. Fremont
1933,100,On February 15 this president-elect survived an assassination attempt by Giuseppe Zangara,Franklin D. Roosevelt
RODGERS & HAMMERSTEIN,100,"To audition for this musical, Yul Brynner sang while sitting cross-legged on the floor","""The King And I"""
HOLIDAYS & OBSERVANCES,100,Autumn brings Choyo-No-Sekku or Chrysanthemum Day in this country,Japan
THE BODY HUMAN,100,"Abbreviated TB, this disease is characterized by lesions in the lung tissue",Tuberculosis
CARDS & DICE,100,The winner of a game of War winds up with this many cards,52
BIBLICAL WORDS & PHRASES,100,"""Can the leopard change"" these? means ""it's impossible""",Its Spots
1933,200,Federal judge John Woolsey lifted the ban on the importation & sale of this James Joyce book,"""Ulysses"""
RODGERS & HAMMERSTEIN,200,"Their 1955 show, ""Pipe Dream"", about the people of Cannery Row, was based on this author's ""Sweet Thursday""",John Steinbeck
HOLIDAYS & OBSERVANCES,200,On this date Denmark's Rebild Park holds the largest foreign celebration of American independence,July 4
THE BODY HUMAN,200,"The human body contains many of these:  some are hinge, some are saddle, some are pivot types",Joints
CARDS & DICE,200,"Instead of pips, poker dice have 6 card values on them that run 9 through this",Ace
BIBLICAL WORDS & PHRASES,200,"To ""pass over"" this river means to reach the promised land",Jordan River
1933,300,The Glass-Steagall Act of 1933 established this corporation that guarantees the savings of bank customers,FDIC (Federal Deposit Insurance Corporation)
RODGERS & HAMMERSTEIN,300,"In 1994 this show about a carnival barker won 5 Tonys, including Best Musical Revival","""Carousel"""
HOLIDAYS & OBSERVANCES,300,"National Freedom Day, February 1, celebrates the 13th Amendment, which abolished this",Slavery
THE BODY HUMAN,300,Blood leaves the heart from ventricles & enters the heart through these chambers,Atria
CARDS & DICE,300,"It's a form of Authors for kids; playing it you may ask another player, ""Do you have any twos?""",Go Fish
BIBLICAL WORDS & PHRASES,300,"Unworthy or sinful people are known as a ""generation of"" these poisonous creatures",Vipers
1933,400,"Known as the ""Little Flower"", he left the House of Representatives in 1933 & became mayor of NYC",Fiorello LaGuardia
RODGERS & HAMMERSTEIN,400,"For 15 years, 1946-1961, this show set in Indian Territory was Broadway's longest-running musical","""Oklahoma!"""
HOLIDAYS & OBSERVANCES,400,"Ecuador & Venezuela observe the birth of this ""George Washington of South America"" each July 24",Simon Bolivar
THE BODY HUMAN,400,This vitamin produced when the skin is exposed to sunlight is toxic in excess,Vitamin D
CARDS & DICE,400,The 4 players in bridge are given these directional titles,"North, South, East & West"
BIBLICAL WORDS & PHRASES,400,Robert Heinlein used this phrase from Exodus 2:22 as the title of one of his novels,"""Stranger In A Strange Land"""
1933,500,On March 23 this German parliament relinquished its power to Adolf Hitler,Reichstag
RODGERS & HAMMERSTEIN,500,"Characters in this musical include Mei Li, Linda Low & Sammy Fong","""Flower Drum Song"""
HOLIDAYS & OBSERVANCES,900,September 10 is St. George's Cay Day in this Central American country,Belize (formerly British Honduras)
THE BODY HUMAN,500,These corpuscles are named for their shape rather than for their color,Platelets
CARDS & DICE,500,It's the number of dice you toss on your first roll of Yahtzee,5
BIBLICAL WORDS & PHRASES,500,"""Pale Horse"" is a metaphor for the approach of this",Death
ROYALTY,200,"This ""bonnie"" prince had a daughter by his mistress Clementina Walkinshaw","""Bonnie"" Prince Charlie"
FOOD,200,Some say these dried treats are tastier made from seeded grapes than from seedless ones,Raisins
BRITISH POETS & POETRY,200,"Elizabeth Barrett mentioned this future husband in her poem ""Lady Geraldine's Courtship"" before they met",Robert Browning
BOXING MOVIES,200,"Before starring on TV's ""Thunder In Paradise"", this ""Hulkster"" played Thunderlips in ""Rocky III""",Hulk Hogan
NATIONAL PARKS OF THE WORLD,200,"You can see this North American country's highest volcano, Volcan Citlaltepetl, in Pico de Orizaba National Park",Mexico
"BEGINS & ENDS WITH ""T""",200,A male feline,Tomcat
ROYALTY,400,In 1949 he succeeded his grandfather  Prince Louis II as ruler of Monaco,Prince Rainier
FOOD,400,"Chop Suey, cioppini & vichyssoise were all invented in this country",U.S.A.
